Code;Code2
OP2 + TP8;OP2 + TP8
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
OP7;OP7
NA;NA
NA;NA
NA;NA
NA;NA
OP2;OP2
TP8;TP8
NA;NA
NA;NA
OP2;OP2
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
CO-PT1+CO-PT2;CO-PT1+CO-PT2
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
CO;CO
TP1+TS8;TP1+TS8
CO;CO
OP8;OP8
TP1+TS8;TP1+TS8
NA;NA
NA;NA
OP10;OP10
TP3;TP3
NA;NA
OS1+TS8;OS1+TS8
TS8;TS8
TS8;TS8
OS1+TS8;OS1+TS8
TS9;TS9
TS8;TS8
TS8;TS8
NA;NA
OS4;OS4
TS8;TS8
NA;NA
TS8;TS8
TS2;TS2
NA;NA
TS9;TS9
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TP1;TP1
NA;NA
TP3;TP3
TP8;TP8
NA;NA
NA;NA
EP2+OP6;EP2+OP6
NA;NA
OS2+OS5;OS2+OS5
CO + CO-PT2;CO + CO-PT2
OS5;OS5
OS6;OS6
TP8;TP8
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
CO;CO
NA;NA
NA;NA
NA;NA
TP1;TP1
NA;NA
NA;NA
NA;NA
OP2;OP2
CO-PT1;CO-PT1
NA;NA
OS5+OS4;OS5+OS4
OP2;OP2
CO;CO
TP9;TP9
TP13;TP13
TS8;TS8
OS6;OS6
NA;NA
NA;NA
OS5+OS4;OS5+OS4
OS5+TS9;OS5+TS9
NA;NA
TS8+TS9;TS8+TS9
NA;NA
NA;NA
NA;NA
NA;NA
TS5;TS5
TS8+TS5;TS8+TS5
TP5;TP5
TP13;TP13
NA;NA
NA;NA
TP;TP
NA;NA
NA;CO-PT1
NA;NA
NA;NA
